Status	Approved symbol	Approved name	UniProt accession
Approved	OR52I2	olfactory receptor family 52 subfamily I member 2	Q8NH67
Approved	OR52J3	olfactory receptor family 52 subfamily J member 3	Q8NH60
Approved	OR52K1	olfactory receptor family 52 subfamily K member 1	Q8NGK4
Approved	OR52K2	olfactory receptor family 52 subfamily K member 2	Q8NGK3
Approved	OR52L1	olfactory receptor family 52 subfamily L member 1	Q8NGH7
Approved	OR52M1	olfactory receptor family 52 subfamily M member 1	Q8NGK5
Approved	OR52N1	olfactory receptor family 52 subfamily N member 1	Q8NH53
Approved	OR52N2	olfactory receptor family 52 subfamily N member 2	Q8NGI0
Approved	OR52N4	olfactory receptor family 52 subfamily N member 4	Q8NGI2
Approved	OR52N5	olfactory receptor family 52 subfamily N member 5	Q8NH56
Approved	OR52R1	olfactory receptor family 52 subfamily R member 1	Q8NGF1
Approved	OR52W1	olfactory receptor family 52 subfamily W member 1	Q6IF63
Approved	OR56A1	olfactory receptor family 56 subfamily A member 1	Q8NGH5
Approved	OR56A3	olfactory receptor family 56 subfamily A member 3	Q8NH54
Approved	OR56A4	olfactory receptor family 56 subfamily A member 4	Q8NGH8
Approved	OR56A5	olfactory receptor family 56 subfamily A member 5	P0C7T3
Approved	OR56B1	olfactory receptor family 56 subfamily B member 1	Q8NGI3
Approved	OR56B4	olfactory receptor family 56 subfamily B member 4	Q8NH76
