Status	Approved symbol	Approved name	UniProt accession
Approved	OR2T33	olfactory receptor family 2 subfamily T member 33	Q8NG76
Approved	OR2T34	olfactory receptor family 2 subfamily T member 34	Q8NGX1
Approved	OR2T35	olfactory receptor family 2 subfamily T member 35	Q8NGX2
Approved	OR2V1	olfactory receptor family 2 subfamily V member 1	Q8NHB1
Approved	OR2V2	olfactory receptor family 2 subfamily V member 2	Q96R30
Approved	OR2W1	olfactory receptor family 2 subfamily W member 1	Q9Y3N9
Approved	OR2W3	olfactory receptor family 2 subfamily W member 3	Q7Z3T1
Approved	OR2Y1	olfactory receptor family 2 subfamily Y member 1	Q8NGV0
Approved	OR2Z1	olfactory receptor family 2 subfamily Z member 1	Q8NG97
Approved	OR3A1	olfactory receptor family 3 subfamily A member 1	P47881
Approved	OR3A2	olfactory receptor family 3 subfamily A member 2	P47893
Approved	OR3A3	olfactory receptor family 3 subfamily A member 3	P47888
Approved	OR4A5	olfactory receptor family 4 subfamily A member 5	Q8NH83
Approved	OR4A15	olfactory receptor family 4 subfamily A member 15	Q8NGL6
Approved	OR4A16	olfactory receptor family 4 subfamily A member 16	Q8NH70
Approved	OR4A47	olfactory receptor family 4 subfamily A member 47	Q6IF82
Approved	OR4B1	olfactory receptor family 4 subfamily B member 1	Q8NGF8
Approved	OR4C3	olfactory receptor family 4 subfamily C member 3	Q8NH37
Approved	OR4C5	olfactory receptor family 4 subfamily C member 5	Q8NGB2
Approved	OR4C6	olfactory receptor family 4 subfamily C member 6	Q8NH72
Approved	OR4C11	olfactory receptor family 4 subfamily C member 11	Q6IEV9
Approved	OR4C12	olfactory receptor family 4 subfamily C member 12	Q96R67
Approved	OR4C13	olfactory receptor family 4 subfamily C member 13	Q8NGP0
Approved	OR4C15	olfactory receptor family 4 subfamily C member 15	Q8NGM1
Approved	OR4C16	olfactory receptor family 4 subfamily C member 16	Q8NGL9
Approved	OR4C46	olfactory receptor family 4 subfamily C member 46	A6NHA9
Approved	OR4D1	olfactory receptor family 4 subfamily D member 1	Q15615
Approved	OR4D2	olfactory receptor family 4 subfamily D member 2	P58180
Approved	OR4D5	olfactory receptor family 4 subfamily D member 5	Q8NGN0
Approved	OR4D6	olfactory receptor family 4 subfamily D member 6	Q8NGJ1
Approved	OR4D9	olfactory receptor family 4 subfamily D member 9	Q8NGE8
Approved	OR4D10	olfactory receptor family 4 subfamily D member 10	Q8NGI6
Approved	OR4D11	olfactory receptor family 4 subfamily D member 11	Q8NGI4
Approved	OR4E1	olfactory receptor family 4 subfamily E member 1	P0C645
Approved	OR4E2	olfactory receptor family 4 subfamily E member 2	Q8NGC2
Approved	OR4F3	olfactory receptor family 4 subfamily F member 3	Q6IEY1
Approved	OR4F4	olfactory receptor family 4 subfamily F member 4	Q96R69
Approved	OR4F5	olfactory receptor family 4 subfamily F member 5	Q8NH21
Approved	OR4F6	olfactory receptor family 4 subfamily F member 6	Q8NGB9
Approved	OR4F15	olfactory receptor family 4 subfamily F member 15	Q8NGB8
Approved	OR4F16	olfactory receptor family 4 subfamily F member 16	Q6IEY1
Approved	OR4F17	olfactory receptor family 4 subfamily F member 17	Q8NGA8
Approved	OR4F21	olfactory receptor family 4 subfamily F member 21	O95013
Approved	OR4F29	olfactory receptor family 4 subfamily F member 29	Q6IEY1
Approved	OR4K1	olfactory receptor family 4 subfamily K member 1	Q8NGD4
Approved	OR4K2	olfactory receptor family 4 subfamily K member 2	Q8NGD2
Approved	OR4K5	olfactory receptor family 4 subfamily K member 5	Q8NGD3
Approved	OR4K13	olfactory receptor family 4 subfamily K member 13	Q8NH42
Approved	OR4K14	olfactory receptor family 4 subfamily K member 14	Q8NGD5
Approved	OR4K15	olfactory receptor family 4 subfamily K member 15	Q8NH41
Approved	OR4K17	olfactory receptor family 4 subfamily K member 17	Q8NGC6
Approved	OR4L1	olfactory receptor family 4 subfamily L member 1	Q8NH43
Approved	OR4M1	olfactory receptor family 4 subfamily M member 1	Q8NGD0
Approved	OR4M2	olfactory receptor family 4 subfamily M member 2	Q8NGB6
Approved	OR4M2B	olfactory receptor family 4 subfamily M member 2B	A0A0X1KG70
Approved	OR4N2	olfactory receptor family 4 subfamily N member 2	Q8NGD1
Approved	OR4N4	olfactory receptor family 4 subfamily N member 4	Q8N0Y3
Approved	OR4N4C	olfactory receptor family 4 subfamily N member 4C	A0A096LPK9
Approved	OR4N5	olfactory receptor family 4 subfamily N member 5	Q8IXE1
Approved	OR4P4	olfactory receptor family 4 subfamily P member 4	Q8NGL7
Approved	OR4Q3	olfactory receptor family 4 subfamily Q member 3	Q8NH05
Approved	OR4S1	olfactory receptor family 4 subfamily S member 1	Q8NGB4
Approved	OR4S2	olfactory receptor family 4 subfamily S member 2	Q8NH73
Approved	OR4X1	olfactory receptor family 4 subfamily X member 1	Q8NH49
Approved	OR4X2	olfactory receptor family 4 subfamily X member 2	Q8NGF9
Approved	OR5A1	olfactory receptor family 5 subfamily A member 1	Q8NGJ0
Approved	OR5A2	olfactory receptor family 5 subfamily A member 2	Q8NGI9
Approved	OR5AC2	olfactory receptor family 5 subfamily AC member 2	Q9NZP5
Approved	OR5AK2	olfactory receptor family 5 subfamily AK member 2	Q8NH90
Approved	OR5AN1	olfactory receptor family 5 subfamily AN member 1	Q8NGI8
Approved	OR5AP2	olfactory receptor family 5 subfamily AP member 2	Q8NGF4
Approved	OR5AR1	olfactory receptor family 5 subfamily AR member 1	Q8NGP9
Approved	OR5AS1	olfactory receptor family 5 subfamily AS member 1	Q8N127
Approved	OR5AU1	olfactory receptor family 5 subfamily AU member 1	Q8NGC0
Approved	OR5B2	olfactory receptor family 5 subfamily B member 2	Q96R09
Approved	OR5B3	olfactory receptor family 5 subfamily B member 3	Q8NH48
Approved	OR5B12	olfactory receptor family 5 subfamily B member 12	Q96R08
Approved	OR5B17	olfactory receptor family 5 subfamily B member 17	Q8NGF7
Approved	OR5B21	olfactory receptor family 5 subfamily B member 21	A6NL26
Approved	OR5C1	olfactory receptor family 5 subfamily C member 1	Q8NGR4
Approved	OR5D13	olfactory receptor family 5 subfamily D member 13	Q8NGL4
Approved	OR5D14	olfactory receptor family 5 subfamily D member 14	Q8NGL3
Approved	OR5D16	olfactory receptor family 5 subfamily D member 16	Q8NGK9
Approved	OR5D18	olfactory receptor family 5 subfamily D member 18	Q8NGL1
Approved	OR5F1	olfactory receptor family 5 subfamily F member 1	O95221
Approved	OR5H1	olfactory receptor family 5 subfamily H member 1	A6NKK0
Approved	OR5H2	olfactory receptor family 5 subfamily H member 2	Q8NGV7
Approved	OR5H6	olfactory receptor family 5 subfamily H member 6	Q8NGV6
Approved	OR5H14	olfactory receptor family 5 subfamily H member 14	A6NHG9
Approved	OR5H15	olfactory receptor family 5 subfamily H member 15	A6NDH6
Approved	OR5I1	olfactory receptor family 5 subfamily I member 1	Q13606
Approved	OR5J2	olfactory receptor family 5 subfamily J member 2	Q8NH18
Approved	OR5K1	olfactory receptor family 5 subfamily K member 1	Q8NHB7
Approved	OR5K2	olfactory receptor family 5 subfamily K member 2	Q8NHB8
Approved	OR5K3	olfactory receptor family 5 subfamily K member 3	A6NET4
Approved	OR5K4	olfactory receptor family 5 subfamily K member 4	A6NMS3
Approved	OR5L1	olfactory receptor family 5 subfamily L member 1	Q8NGL2
Approved	OR5L2	olfactory receptor family 5 subfamily L member 2	Q8NGL0
Approved	OR5M1	olfactory receptor family 5 subfamily M member 1	Q8NGP8
Approved	OR5M3	olfactory receptor family 5 subfamily M member 3	Q8NGP4
Approved	OR5M8	olfactory receptor family 5 subfamily M member 8	Q8NGP6
Approved	OR5M9	olfactory receptor family 5 subfamily M member 9	Q8NGP3
Approved	OR5M10	olfactory receptor family 5 subfamily M member 10	Q6IEU7
Approved	OR5M11	olfactory receptor family 5 subfamily M member 11	Q96RB7
Approved	OR5P2	olfactory receptor family 5 subfamily P member 2	Q8WZ92
Approved	OR5P3	olfactory receptor family 5 subfamily P member 3	Q8WZ94
