"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"31404","ENSMUSG00000051160",-0.100559876399851,-2.14209348847825,0.0114234744773285,0.914883660105197,0.964786405201844,4,3,1,4,5,1,"Olfr853","olfactory receptor 853"
"31556","ENSMUSG00000059873",0.0632054749906391,-0.149165990843539,0.0102129639430202,0.919503457853565,0.96873117643846,31,19,2,18,23,16,"Olfr1029","olfactory receptor 1029"
"31584","ENSMUSG00000052182",0.0575432801748605,0.100702858081682,0.00990199405830072,0.920734329990057,0.968934464099551,23,22,8,28,13,35,"Olfr849","olfactory receptor 849"
"31602","ENSMUSG00000048693",0.0490632105703556,-0.0156098859485668,0.00972219672753649,0.921454916856923,0.968934464099551,19,16,13,24,18,27,"Olfr435","olfactory receptor 435"
"31752","ENSMUSG00000059043",0.0239293509203971,4.75678562914876,0.00919572881629449,0.923604471784292,0.970268949386358,613,551,311,577,615,841,"Olfr15","olfactory receptor 15"
"31814","ENSMUSG00000070421",0.0538931857074065,0.0343560289029001,0.00859105511490732,0.926151474420847,0.97201802363026,35,19,4,21,24,22,"Olfr658","olfactory receptor 658"
"31871","ENSMUSG00000061165",0.0380059437011664,0.712320487241477,0.00819607567709602,0.927864322727524,0.972889137626766,31,21,29,28,41,48,"Olfr160","olfactory receptor 160"
"31939","ENSMUSG00000095903",-0.0418372437908853,0.278311493821183,0.00756982400710737,0.93066774796418,0.974901005947268,31,20,13,22,29,32,"Olfr968","olfactory receptor 968"
"32252","ENSMUSG00000049926",0.0310820652692775,0.87681530983756,0.00504708898405104,0.943363638544733,0.986640378968598,40,23,29,27,53,53,"Olfr921","olfactory receptor 921"
"32261","ENSMUSG00000044286",-0.0346315822808068,0.305889349781726,0.0049934107633991,0.943665117452724,0.986640378968598,37,16,14,25,32,27,"Olfr221","olfactory receptor 221"
"32353","ENSMUSG00000056995",0.0323593655444227,0.192712848852551,0.00433709187282361,0.947491993053318,0.989342580405585,38,14,10,32,20,26,"Olfr1178","olfactory receptor 1178"
"32378","ENSMUSG00000091983",-0.0385232563372228,-0.56382067780328,0.00420385206496499,0.948303686528585,0.989342580405585,9,9,14,13,14,16,"Olfr457","olfactory receptor 457"
"32394","ENSMUSG00000075220",0.395416031126423,-2.94890335188709,0.00410038942678392,0.948942928755629,0.989342580405585,0,1,0,0,0,4,"Olfr993","olfactory receptor 993"
"32423","ENSMUSG00000070438",-0.0400033057123107,-0.328651379440627,0.00389375753441623,0.950244310694137,0.989762977679526,16,18,5,11,13,29,"Olfr313","olfactory receptor 313"
"32688","ENSMUSG00000057149",0.0159012852514631,2.42891255109661,0.00243449822913355,0.960647837156586,0.999463197663855,111,91,76,101,113,186,"Olfr1301","olfactory receptor 1301"
"32732","ENSMUSG00000073955",-0.038765122260001,-2.22485821386726,0.00221941191967412,0.962425051334185,0.999463197663855,3,1,2,0,4,6,"Olfr593","olfactory receptor 593"
"32780","ENSMUSG00000064006",-0.023699180168189,0.212931562916713,0.00203596891576474,0.964010295178331,0.999463197663855,19,20,14,22,11,51,"Olfr190","olfactory receptor 190"
"32782","ENSMUSG00000099687",-0.0308403646275086,-0.500760370540597,0.00203052803199988,0.964058383859796,0.999463197663855,21,16,2,16,12,15,"Olfr623","olfactory receptor 623"
"32786","ENSMUSG00000075382",0.0222454109599572,0.270164819834421,0.00200173430714212,0.964313955993547,0.999463197663855,24,23,13,22,24,39,"Olfr353","olfactory receptor 353"
"32800","ENSMUSG00000075115",0.0163388493539813,1.43058625382795,0.00192557640707314,0.96499894946855,0.999463197663855,46,54,38,67,46,84,"Olfr1200","olfactory receptor 1200"
"32854","ENSMUSG00000075063",-0.0146028470897801,1.81373425097369,0.00170736301794605,0.967040590096144,1,62,74,48,84,61,111,"Olfr142","olfactory receptor 142"
"32920","ENSMUSG00000094449",0.0157908478679155,0.817600397227816,0.00140796350815453,0.970068129425184,1,39,24,25,33,31,63,"Olfr972","olfactory receptor 972"
"32925","ENSMUSG00000059030",-0.0185381806361183,0.166505108556793,0.00139791228053854,0.970175110265275,1,24,25,10,31,20,26,"Olfr128","olfactory receptor 128"
"33001","ENSMUSG00000075081",-0.0122357884368021,1.39421121771315,0.0011801729715919,0.972595147020774,1,58,42,37,55,51,84,"Olfr1247","olfactory receptor 1247"
"33048","ENSMUSG00000095901",-0.0164817689614729,0.248842654623864,0.000996070212265998,0.97482248029084,1,22,25,12,32,13,39,"Olfr538","olfactory receptor 538"
"33117","ENSMUSG00000070383",0.0103704634948291,1.10888482585618,0.000745696325682221,0.97821452214423,1,28,31,44,36,34,84,"Olfr389","olfactory receptor 389"
"33121","ENSMUSG00000047039",-0.0207383080676058,-2.79547557516409,0.00074051475023218,0.978290325065062,1,2,1,0,2,0,2,"Olfr1151","olfactory receptor 1151"
"33124","ENSMUSG00000052508",-0.00690138696407835,5.71988288141217,0.000739080622622623,0.978311352233046,1,1245,1065,588,1248,953,1749,"Olfr536","olfactory receptor 536"
"33134","ENSMUSG00000049315",0.0211274202427802,-0.76095850852368,0.000724942428791397,0.978519749082391,1,7,15,5,23,6,10,"Olfr348","olfactory receptor 348"
"33193","ENSMUSG00000094673",0.017340774772075,0.177694075402634,0.000610619084175035,0.980285714032382,1,31,18,8,9,35,36,"Olfr1354","olfactory receptor 1354"
"33396","ENSMUSG00000075161",-0.0186480236401611,-2.32785698511911,0.000204438251796057,0.988592083250195,1,3,0,3,2,1,5,"Olfr1109","olfactory receptor 1109"
"33466","ENSMUSG00000081234",0.0100058373957775,-0.956241642151079,0.000121171902930151,0.991217214929308,1,15,8,2,6,10,15,"Olfr1120","olfactory receptor 1120"
"33511","ENSMUSG00000049334",-0.00618056747349048,-1.3323336410841,7.34804888263829e-05,0.993160556579278,1,8,4,5,7,7,9,"Olfr902","olfactory receptor 902"
"33551","ENSMUSG00000075208",-0.00265014275492509,1.19340291122418,5.48321328472934e-05,0.994091820760387,1,50,40,30,45,55,65,"Olfr1019","olfactory receptor 1019"
"34195","ENSMUSG00000042219",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr631","olfactory receptor 631"
"34250","ENSMUSG00000045508",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr1367","olfactory receptor 1367"
"34252","ENSMUSG00000045528",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr891","olfactory receptor 891"
"34304","ENSMUSG00000047667",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr26","olfactory receptor 26"
"34326","ENSMUSG00000048469",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr564","olfactory receptor 564"
"34371","ENSMUSG00000050603",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr1008","olfactory receptor 1008"
"34591","ENSMUSG00000058807",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr331","olfactory receptor 331"
"34592","ENSMUSG00000058856",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr952","olfactory receptor 952"
"34623","ENSMUSG00000060105",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr504","olfactory receptor 504"
"34624","ENSMUSG00000060170",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr1371","olfactory receptor 1371"
"34645","ENSMUSG00000060759",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr503","olfactory receptor 503"
"34677","ENSMUSG00000062204",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr1373","olfactory receptor 1373"
"34733","ENSMUSG00000064333",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr926","olfactory receptor 926"
"35571","ENSMUSG00000066241",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr514","olfactory receptor 514"
"35914","ENSMUSG00000073909",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr688","olfactory receptor 688"
"35996","ENSMUSG00000075094",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr1230","olfactory receptor 1230"
"35997","ENSMUSG00000075156",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr1128","olfactory receptor 1128"
"35998","ENSMUSG00000075185",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr1061","olfactory receptor 1061"
"42911","ENSMUSG00000094461",-1.24449497207373e-16,-3.45629842307856,0,1,1,0,0,0,0,0,0,"Olfr883","olfactory receptor 883"
